"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","01 Jul 2024","14512.15","14553.1","14454.1","14543.10"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","28 Jun 2024","14504.6","14547.7","14446.7","14487.05"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","27 Jun 2024","14368","14459","14308","14429.75"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","26 Jun 2024","14213.6","14350.65","14180.4","14334.05"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","25 Jun 2024","14265.9","14296.05","14178.5","14205.80"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","24 Jun 2024","14066.75","14217.2","13998.5","14188.00"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","21 Jun 2024","14212.9","14245.2","14091.65","14120.50"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","20 Jun 2024","14130.1","14176.45","14050.15","14165.85"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","19 Jun 2024","14341.25","14343.65","14066.75","14097.45"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","18 Jun 2024","14322.65","14323.5","14244.75","14303.35"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14 Jun 2024","14180.3","14245","14124.3","14231.85"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","13 Jun 2024","14147.1","14147.1","14034.5","14120.80"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","12 Jun 2024","13920.3","14057.7","13901.95","14017.45"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","11 Jun 2024","13823.05","13937.8","13765.1","13866.80"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","10 Jun 2024","13757.75","13845.35","13722.6","13769.75"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","07 Jun 2024","13343.85","13684.65","13304.05","13673.00"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","06 Jun 2024","13200.05","13456.8","13166.85","13346.75"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","05 Jun 2024","12807.5","13060.1","12332.4","13036.05"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","04 Jun 2024","13933.45","13933.55","12125.75","12604.10"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","03 Jun 2024","13953.9","13998.3","13767.85","13970.35"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","31 May 2024","13347","13423.2","13292.65","13365.65"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","30 May 2024","13474.25","13487.55","13264.85","13299.05"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","29 May 2024","13471.1","13550.65","13436.95","13480.20"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","28 May 2024","13658.9","13667.95","13490.85","13529.05"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","27 May 2024","13663.45","13699.35","13542.8","13628.10"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","24 May 2024","13567.1","13663.3","13537.9","13593.65"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","23 May 2024","13495.35","13582","13434.95","13572.40"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","22 May 2024","13475.85","13481.1","13333.15","13460.15"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","21 May 2024","13414.55","13491.7","13370.15","13438.90"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","18 May 2024","13394.25","13421.15","13385.6","13411.50"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","17 May 2024","13266.35","13345.1","13225.5","13336.85"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","16 May 2024","13146.05","13232.45","13070.2","13220.35"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","15 May 2024","13020.25","13105.4","12986.5","13081.65"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14 May 2024","12857.05","12998.7","12840.15","12981.45"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","13 May 2024","12835.65","12853.9","12591.1","12827.55"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","10 May 2024","12743.7","12834.15","12639.55","12824.35"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","09 May 2024","12977.7","12994","12685.05","12703.50"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","08 May 2024","12897.9","13086.75","12835.5","13036.25"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","07 May 2024","13161.15","13165.45","12878.15","12924.15"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","06 May 2024","13266.85","13273.45","13034.05","13123.90"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","03 May 2024","13361.8","13369.9","13108.3","13194.50"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","02 May 2024","13278.1","13329.9","13241.1","13299.85"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","30 Apr 2024","13284","13353.4","13238.15","13249.70"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","29 Apr 2024","13177.9","13242.65","13140.05","13231.55"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","26 Apr 2024","13151.85","13179.4","13102.25","13143.95"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","25 Apr 2024","13036.75","13122.5","13012.5","13113.25"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","24 Apr 2024","13054.8","13104.65","13042.35","13065.20"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","23 Apr 2024","12955.4","13019.15","12940.15","12993.90"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","22 Apr 2024","12888.25","12907.4","12820.65","12882.10"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","19 Apr 2024","12715.9","12848.8","12570.8","12796.85"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","18 Apr 2024","12932.25","13013.95","12774.15","12805.60"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","16 Apr 2024","12776.85","12906.5","12741","12855.95"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","15 Apr 2024","12783","12938.35","12707","12837.60"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","12 Apr 2024","13053.6","13121.35","12957.25","12971.70"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","10 Apr 2024","13001.75","13076.55","12989.70","13066.15"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","09 Apr 2024","13038.85","13043.40","12926.55","12956.40"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","08 Apr 2024","12926.20","13008.40","12899.25","12981.75"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","05 Apr 2024","-","-","-","12871.70"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","04 Apr 2024","-","-","-","12880.07"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","03 Apr 2024","-","-","-","12908.42"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","02 Apr 2024","-","-","-","12918.24"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","01 Apr 2024","-","-","-","12829.94"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","28 Mar 2024","-","-","-","12656.18"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","27 Mar 2024","-","-","-","12549.69"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","26 Mar 2024","-","-","-","12437.34"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","22 Mar 2024","-","-","-","12392.29"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","21 Mar 2024","-","-","-","12301.62"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","20 Mar 2024","-","-","-","12096.56"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","19 Mar 2024","-","-","-","12018.63"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","18 Mar 2024","-","-","-","12166.09"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","15 Mar 2024","-","-","-","12146.94"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14 Mar 2024","-","-","-","12216.67"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","13 Mar 2024","-","-","-","11994.26"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","12 Mar 2024","-","-","-","12509.46"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","11 Mar 2024","-","-","-","12633.90"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","07 Mar 2024","-","-","-","12742.08"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","06 Mar 2024","-","-","-","12731.72"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","05 Mar 2024","-","-","-","12835.58"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","04 Mar 2024","-","-","-","12835.77"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","02 Mar 2024","-","-","-","12756.25"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","01 Mar 2024","-","-","-","12693.82"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","29 Feb 2024","-","-","-","12521.73"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","28 Feb 2024","-","-","-","12498.43"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","27 Feb 2024","-","-","-","12731.42"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","26 Feb 2024","-","-","-","12705.78"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","23 Feb 2024","-","-","-","12738.28"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","22 Feb 2024","-","-","-","12687.20"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","21 Feb 2024","-","-","-","12566.70"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","20 Feb 2024","-","-","-","12691.45"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","19 Feb 2024","-","-","-","12650.01"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","16 Feb 2024","-","-","-","12614.60"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","15 Feb 2024","-","-","-","12555.31"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14 Feb 2024","-","-","-","12467.07"
