Release Date,Time,Actual,Forecast,Previous
"Jun 07, 2024",0:30,6.50%,6.50%,6.50%
"Apr 05, 2024",0:30,6.50%,6.50%,6.50%
"Feb 08, 2024",0:30,6.50%,6.50%,6.50%
"Dec 08, 2023",0:30,6.50%,6.50%,6.50%
"Oct 06, 2023",0:30,6.50%,6.50%,6.50%
"Aug 10, 2023",0:30,6.50%,6.50%,6.50%
"Jun 08, 2023",0:30,6.50%,6.50%,6.50%
"Apr 06, 2023",0:30,6.50%,6.75%,6.50%
"Feb 08, 2023",0:30,6.50%,6.50%,6.25%
"Dec 07, 2022",0:30,6.25%,6.25%,5.90%
"Sep 30, 2022",0:30,5.90%,5.90%,5.40%
"Aug 05, 2022",0:30,5.40%,5.25%,4.90%
"Jun 08, 2022",0:30,4.90%,4.80%,4.40%
"May 04, 2022",7:00,4.40%,4.00%,4.40%
"Apr 08, 2022",0:30,4.00%,4.00%,4.00%
"Feb 10, 2022",0:30,4.00%,4.00%,4.00%
"Dec 08, 2021",0:30,4.00%,4.00%,4.00%
"Oct 08, 2021",0:30,4.00%,4.00%,4.00%
"Aug 06, 2021",0:30,4.00%,4.00%,4.00%
"Jun 04, 2021",0:30,4.00%,4.00%,4.00%
"Apr 07, 2021",0:30,4.00%,4.00%,4.00%
"Feb 05, 2021",0:30,4.00%,4.00%,4.00%
"Dec 04, 2020",0:30,4.00%,4.00%,4.00%
"Oct 09, 2020",0:30,4.00%,4.00%,4.00%
"Aug 06, 2020",2:15,4.00%,3.75%,4.00%
"May 22, 2020",0:30,4.00%,,4.40%
"Mar 27, 2020",1:30,4.40%,5.15%,5.15%
"Feb 06, 2020",2:15,5.15%,5.15%,5.15%
"Dec 05, 2019",2:15,5.15%,4.90%,5.15%
"Oct 04, 2019",2:15,5.15%,5.15%,5.40%
"Aug 07, 2019",2:15,5.40%,5.50%,5.75%
"Jun 06, 2019",2:15,5.75%,5.75%,6.00%
"Apr 04, 2019",2:15,6.00%,6.00%,6.25%
"Feb 07, 2019",2:15,6.25%,6.50%,6.50%
"Dec 05, 2018",5:00,6.50%,6.50%,6.50%
"Oct 05, 2018",5:00,6.50%,6.75%,6.50%
"Aug 01, 2018",5:00,6.50%,6.50%,6.25%
"Jun 06, 2018",5:00,6.25%,6.00%,6.00%
"Apr 05, 2018",5:00,6.00%,6.00%,6.00%
"Feb 07, 2018",5:00,6.00%,6.00%,6.00%
"Dec 06, 2017",5:00,6.00%,6.00%,6.00%
"Oct 04, 2017",5:00,6.00%,6.00%,6.00%
"Aug 02, 2017",5:00,6.00%,6.00%,6.25%
"Jun 07, 2017",5:00,6.25%,6.25%,6.25%
"Apr 06, 2017",5:00,6.25%,6.25%,6.25%
"Feb 08, 2017",5:00,6.25%,6.00%,6.25%
"Dec 07, 2016",5:00,6.25%,6.00%,6.25%
"Oct 04, 2016",5:00,6.25%,6.50%,6.50%
"Aug 09, 2016",1:30,6.50%,6.50%,6.50%
"Jun 07, 2016",1:30,6.50%,6.50%,6.50%
"Apr 05, 2016",1:30,6.50%,6.50%,6.75%
"Feb 02, 2016",1:30,6.75%,6.75%,6.75%
"Dec 01, 2015",1:30,6.75%,6.75%,6.75%
"Sep 29, 2015",1:30,6.75%,7.00%,7.25%
"Aug 04, 2015",1:30,7.25%,7.25%,7.25%
"Jun 02, 2015",1:30,7.25%,7.25%,7.50%
"Apr 07, 2015",1:30,7.50%,7.50%,7.50%
"Mar 04, 2015",0:00,7.50%,7.75%,7.75%
"Feb 03, 2015",1:30,7.75%,7.75%,7.75%
"Jan 15, 2015",0:05,7.75%,8.00%,8.00%
"Dec 02, 2014",1:30,8.00%,8.00%,8.00%
"Sep 30, 2014",1:30,8.00%,8.00%,8.00%
"Aug 05, 2014",1:30,8.00%,8.00%,8.00%
"Jun 03, 2014",1:30,8.00%,8.00%,8.00%
"Apr 01, 2014",1:30,8.00%,8.00%,8.00%
"Jan 28, 2014",1:30,8.00%,7.75%,7.75%
"Dec 18, 2013",1:30,7.75%,8.00%,7.75%
"Oct 29, 2013",1:30,7.75%,7.50%,7.50%
"Sep 20, 2013",1:30,7.50%,7.25%,7.25%
"Jul 30, 2013",1:30,7.25%,7.25%,7.25%
"Jun 17, 2013",1:30,7.25%,7.25%,7.25%
"May 03, 2013",1:30,7.25%,7.25%,7.50%
"Mar 19, 2013",1:30,7.50%,7.50%,7.75%
"Jan 29, 2013",1:30,7.75%,7.75%,8.00%
"Dec 18, 2012",1:30,8.00%,8.00%,8.00%
"Oct 30, 2012",1:30,8.00%,8.00%,8.00%
"Sep 17, 2012",1:30,8.00%,8.00%,8.00%
"Jul 31, 2012",1:30,8.00%,8.00%,8.00%
"Jun 18, 2012",1:30,8.00%,7.75%,8.00%
"Apr 17, 2012",1:30,8.00%,8.25%,8.50%
"Mar 01, 2012 (Feb)",5:00,8.50%,,8.50%
"Feb 01, 2012 (Jan)",5:00,8.50%,,8.50%
"Jan 01, 2012 (Dec)",5:00,8.50%,,8.50%
"Dec 01, 2011 (Nov)",5:00,8.50%,,8.31%
"Nov 01, 2011 (Oct)",5:00,8.31%,,8.13%
"Oct 01, 2011 (Sep)",5:00,8.13%,,8.00%
"Sep 01, 2011 (Aug)",5:00,8.00%,,7.60%
"Aug 01, 2011 (Jul)",5:00,7.60%,,7.38%
"Jul 01, 2011 (Jun)",5:00,7.38%,,7.23%
"Jun 01, 2011 (May)",5:00,7.23%,,6.75%
"May 01, 2011 (Apr)",5:00,6.75%,,6.62%
"Apr 01, 2011 (Mar)",5:00,6.62%,,6.50%
"Mar 01, 2011 (Feb)",5:00,6.50%,,6.31%
"Feb 01, 2011 (Jan)",5:00,6.31%,,6.25%
"Jan 01, 2011 (Dec)",5:00,6.25%,,6.25%
"Dec 01, 2010 (Nov)",5:00,6.25%,,6.00%
"Nov 01, 2010 (Oct)",5:00,6.00%,,5.88%
"Oct 01, 2010 (Sep)",5:00,5.88%,,5.75%
"Sep 01, 2010 (Aug)",5:00,5.75%,,5.53%
"Aug 01, 2010 (Jul)",5:00,5.53%,,5.25%
"Jul 01, 2010 (Jun)",5:00,5.25%,,5.25%
"Jun 01, 2010 (May)",5:00,5.25%,,5.10%
"May 01, 2010 (Apr)",5:00,5.10%,,4.85%
"Apr 01, 2010 (Mar)",5:00,4.85%,,4.75%
"Mar 01, 2010 (Feb)",5:00,4.75%,,4.75%
"Feb 01, 2010 (Jan)",5:00,4.75%,,4.75%
"Jan 01, 2010 (Dec)",5:00,4.75%,,4.75%
"Dec 01, 2009 (Nov)",5:00,4.75%,,4.75%
"Nov 01, 2009 (Oct)",5:00,4.75%,,4.75%
"Oct 01, 2009 (Sep)",5:00,4.75%,,4.75%
"Sep 01, 2009 (Aug)",5:00,4.75%,,4.75%
"Aug 01, 2009 (Jul)",5:00,4.75%,,4.75%
"Jul 01, 2009 (Jun)",5:00,4.75%,,4.75%
"Jun 01, 2009 (May)",5:00,4.75%,,4.91%
"May 01, 2009 (Apr)",5:00,4.91%,,5.05%
"Apr 01, 2009 (Mar)",5:00,5.05%,,5.50%
"Mar 01, 2009 (Feb)",5:00,5.50%,,5.55%
"Feb 01, 2009 (Jan)",5:00,5.55%,,6.72%
"Jan 01, 2009 (Dec)",5:00,6.72%,,7.50%
"Dec 01, 2008 (Nov)",5:00,7.50%,,8.57%
"Nov 01, 2008 (Oct)",5:00,8.57%,,9.00%
"Oct 01, 2008 (Sep)",5:00,9.00%,,9.00%
"Sep 01, 2008 (Aug)",5:00,9.00%,,8.54%
"Aug 01, 2008 (Jul)",5:00,8.54%,,8.00%
"Jul 01, 2008 (Jun)",5:00,8.00%,,7.75%
"Jun 01, 2008 (May)",5:00,7.75%,,7.75%
"May 01, 2008 (Apr)",5:00,7.75%,,7.75%
"Apr 01, 2008 (Mar)",5:00,7.75%,,7.75%
"Mar 01, 2008 (Feb)",5:00,7.75%,,7.75%
"Feb 01, 2008 (Jan)",5:00,7.75%,,7.75%
"Jan 01, 2008 (Dec)",5:00,7.75%,,7.75%
"Dec 01, 2007 (Nov)",5:00,7.75%,,7.75%
"Nov 01, 2007 (Oct)",5:00,7.75%,,7.75%
"Oct 01, 2007 (Sep)",5:00,7.75%,,7.75%
"Sep 01, 2007 (Aug)",5:00,7.75%,,7.75%
"Aug 01, 2007 (Jul)",5:00,7.75%,,7.75%
"Jul 01, 2007 (Jun)",5:00,7.75%,,7.75%
"Jun 01, 2007 (May)",5:00,7.75%,,7.75%
"May 01, 2007 (Apr)",5:00,7.75%,,7.50%
"Apr 01, 2007 (Mar)",5:00,7.50%,,7.50%
"Mar 01, 2007 (Feb)",5:00,7.50%,,7.26%
"Feb 01, 2007 (Jan)",5:00,7.26%,,7.25%
"Jan 01, 2007 (Dec)",5:00,7.25%,,7.25%
"Dec 01, 2006 (Nov)",5:00,7.25%,,7.01%
"Nov 01, 2006 (Oct)",5:00,7.01%,,7.00%
"Oct 01, 2006 (Sep)",5:00,7.00%,,7.00%
"Sep 01, 2006 (Aug)",5:00,7.00%,,6.81%
"Aug 01, 2006 (Jul)",5:00,6.81%,,6.69%
"Jul 01, 2006 (Jun)",5:00,6.69%,,6.50%
"Jun 01, 2006 (May)",5:00,6.50%,,6.50%
"May 01, 2006 (Apr)",5:00,6.50%,,6.50%
